Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Cloud Atlas,12/10/2014,Believed to be the same threat actor as Red October,This threat actor targets governments and diplomatic organizations for espionage purposes.,,"Russia, Kazakhstan, Belarus, India, Czech Republic",Russian Federation,Espionage,Government,https://securelist.com/blog/research/68083/cloud-atlas-redoctober-apt-is-back-in-style/,,
Compromise of the Sands Casino,12/12/2014,,Threat actors launched a denial of service attack and wiped data from the computer networks at the Sands Casino in Las Vegas.,Denouncement   http://www.bloomberg.com/news/articles/2015-02-26/iran-behind-cyber-attack-on-adelson-s-sands-corp-clapper-says,Las Vegas Sands Corporation,Iran (Islamic Republic of),Data destruction,Private sector,https://web.archive.org/web/20170518141232/https://www.bloomberg.com/news/articles/2014-12-11/nuke-remark-stirred-hack-on-sands-casinos-that-foreshadowed-sony,http://www.bloomberg.com/news/articles/2014-12-11/iranian-hackers-hit-sheldon-adelsons-sands-casino-in-las-vegas,
Indictment of PLA officers,5/19/2014,,"In May 2014, the U.S. Department of Justice indicted five members of the People’s Liberation Army (PLA) Unit 61398, a Chinese army unit dedicated to cyber espionage. According to the Department of Justice, Unit 61398 compromised U.S. corporate networks for trade information potentially useful to Chinese state-owned enterprises.

The PLA indictments were the most direct confrontation to date between Washington and Beijing regarding Chinese government sponsorship of hacking groups. It was the first time that the U.S. Department of Justice indicted state-sponsored actors, and was part of a broader effort by the United States to halt China’s cyber industrial espionage programs and define an international norm against cyber espionage for commercial gain.",Criminal charges   https://www.justice.gov/opa/pr/us-charges-five-chinese-military-hackers-cyber-espionage-against-us-corporations-and-labor,"Westinghouse, Solar World, U.S. Steel, ATI, USW, Alcoa",China,Espionage,Private sector,https://www.justice.gov/opa/pr/us-charges-five-chinese-military-hackers-cyber-espionage-against-us-corporations-and-labor,,
Attack on a German steel plant,12/22/2014,,A threat actor compromised an unnamed steel mill by accessing the plant's business network and working its way into production networks and the systems controlling plant equipment. The compromise causes one of plant's furnaces to shut down.,,Unnamed German steel mill,,Sabotage,Private sector,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/Securitysituation/IT-Security-Situation-in-Germany-2014.pdf?__blob=publicationFile&v=3,https://ics.sans.org/media/ICS-CPPE-case-Study-2-German-Steelworks_Facility.pdf,http://www.wired.com/2015/01/german-steel-mill-hack-destruction/
Compromise of Boeing,7/12/2014,,"Su Bin, a Chinese national, pleaded guilty to hacking Boeing and other U.S. defense contractors for the purpose of passing confidential information to the People's Liberation Army.",Criminal charges   https://www.justice.gov/opa/pr/chinese-national-pleads-guilty-conspiring-hack-us-defense-contractors-systems-steal-sensitive,United States,China,Espionage,Private sector,http://www.cbc.ca/news/canada/british-columbia/su-bin-chinese-man-accused-by-fbi-of-hacking-in-custody-in-b-c-1.2705169,http://www.theglobeandmail.com/news/national/vancouver-businessman-gets-jail-sentence-for-stealing-us-military-data/article30932488/,https://www.justice.gov/opa/pr/chinese-national-pleads-guilty-conspiring-hack-us-defense-contractors-systems-steal-sensitive
Machete,8/20/2014,,"This threat actor targets military, government entities, and telecommunications providers, primarily in Latin America, for the purpose of espionage.",,"Venezuela, Ecuador, Colombia, Russia, Brazil, Peru, Cuba, Spain, Sweden, China, Germany, United States, Belgium, France, Malaysia",,Espionage,"Military, Government",https://securelist.com/blog/research/66108/el-machete/,https://www.cylance.com/en_us/blog/el-machete-malware-attacks-cut-through-latam.html,
Compromise of Canada's National Research Council,7/29/2014,,A threat actor compromised the networks of Canada's National Research Council and exfiltrated data for espionage purposes. The government of Canada confirmed that Chinese state-sponsored actors were responsible.,Denouncement   http://news.gc.ca/web/article-en.do?nid=871449,National Research Council,China,Espionage,Government,https://web.archive.org/web/20140729142533/http://news.gc.ca/web/article-en.do?nid=871449,http://www.cbc.ca/news/politics/chinese-cyberattack-hits-canada-s-national-research-council-1.2721241,http://www.bbc.com/news/world-us-canada-28548925
APT 12,9/3/2014,"Also known as IXESHE, Numbered Panda, and Group 22","This threat actor targets organizations in Japan, Taiwan, and elsewhere in East Asia—including electronics manufacturers and telecommunications companies—for espionage purposes.",,"Japan, Taiwan",China,Espionage,"Private sector, Government",https://www.fireeye.com/blog/threat-research/2014/09/darwins-favorite-apt-group-2.html,http://www.trendmicro.com/cloud-content/us/pdfs/security-intelligence/white-papers/wp_ixeshe.pdf,https://www.crowdstrike.com/blog/whois-numbered-panda/
Compromise of U.S. Investigations Services,8/6/2014,Related to the compromise at the Office of Personnel Management,The contractor responsible for security clearance at the U.S. Department of Homeland Security had their networks hacked and employee information was compromised.,,USIS,China,Espionage,Private sector,https://web.archive.org/web/20150223064255/http://usis.com/Media-Release-Detail.aspx?dpid=151,http://bigstory.ap.org/article/427fbd5d88f5481eab35f5a8bbc534be/security-contractor-breach-not-detected-months,http://www.onapsis.com/blog/chinese-most-likely-using-one-top-three-most-common-sap-exploits-identified-onapsis-compromise
Careto,2/10/2014,Also known as Mask and Ugly Face,"This threat actor targets governments, diplomatic missions, private companies in the energy sector, and academics for espionage purposes.",,"Morocco, Brazil, United Kingdom, France, Spain, Switzerland, Libya, United States, Iran, Venezuela, South Africa, Germany, Poland, Tunisia",Spain,Espionage,"Government, Private sector",https://securelist.com/blog/research/58254/the-caretomask-apt-frequently-asked-questions/,http://www.wired.com/2014/02/mask/,https://www.schneier.com/blog/archives/2014/02/the_mask_espion.html
Fake Occupy Central apps,9/17/2014,,"Threat actor targeted pro-democracy activists by enticing them to download and install malware-laden Android apps, allowing the threat actors to remotely track and record conversations on compromised phones.",,Pro-democracy occupy central activists,China,Espionage,Private sector,http://www.scmp.com/news/hong-kong/article/1594667/fake-occupy-central-app-targets-activists-smartphones,http://www.nytimes.com/2014/10/02/business/protesters-are-targets-of-scrutiny-through-their-phones.html,
Snowglobe,3/21/2014,Animal Farm,"A threat actor, confirmed to be the French government, that targets governments, companies, media organizations, military contractors, and humanitarian organizations.",,"Syria, Iran, Malaysia, United States, China, Turkey, Netherlands, Germany, United Kingdom, Russia, Algeria, Ivory Coast, Spain, Norway, Greece",France,Espionage,"Government, Private sector",http://www.lemonde.fr/international/article/2014/03/21/quand-les-canadiens-partent-en-chasse-de-babar_4387233_3210.html,https://apt.securelist.com/#secondPage/attack=33,http://blogs.cfr.org/cyber/2016/09/15/shouting-at-americans-a-peek-into-french-signals-intelligence/
Compromise of iCloud in China,10/21/2014,,A threat actor compromised Apple's iCloud service in China and intercepted user names and passwords of targeted iCloud users.,,Apple iCloud in China,China,Espionage,Private sector,https://en.greatfire.org/blog/2014/oct/china-collecting-apple-icloud-data-attack-coincides-launch-new-iphone,http://www.netresec.com/?page=Blog&month=2014-10&post=Chinese-MITM-Attack-on-iCloud,https://www.washingtonpost.com/news/the-switch/wp/2014/10/21/apples-icloud-service-suffers-cyber-attack-in-china-putting-passwords-in-peril/
Saffron Rose,5/12/2014,"Also known as Flying Kitten, Sayad, Ajax Security Team, and Group 26",This threat actor is focused on espionage and targets companies within the U.S. defense industrial base and Iranians who use anticensorship technology.,,"United States, Iranian internet activists",Iran (Islamic Republic of),Espionage,"Military, Civil society",https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-operation-saffron-rose.pdf,https://www.crowdstrike.com/blog/cat-scratch-fever-crowdstrike-tracks-newly-reported-iranian-actor-flying-kitten/index.html,https://www.nccgroup.trust/uk/about-us/newsroom-and-events/blogs/2014/july/a-new-flying-kitten/
Compromise of the U.S. State Department,10/28/2014,Believed to be the work of the Dukes,A threat actor compromised the unclassified network of the State Department for espionage purposes.,,U.S. Department of State,Russian Federation,Espionage,Government,http://www.reuters.com/article/us-cybersecurity-statedept-idUSKCN0J11BR20141117,http://www.nextgov.com/cybersecurity/2014/11/state-department-hacked-same-time-white-house/99131/,http://www.bbc.com/news/technology-29817644
Compromise of the U.S. Postal Service,11/9/2014,,A threat actor compromised the networks of the U.S. Postal Service and gained access to employee data.,,U.S. Postal Service,China,Espionage,Government,http://about.usps.com/news/testimony/2014/pr14_day1119a.pdf,http://www.washingtonpost.com/blogs/federal-eye/wp/2014/11/10/china-suspected-of-breaching-u-s-postal-service-computer-networks/,http://www.wsj.com/articles/u-s-postal-service-says-it-was-victim-of-data-breach-1415632126
Regin,11/24/2014,Believed to be the work of the Equation Group,"A threat actor, using a tool dubbed Regin, compromised telecommunications networks and collected information about how those networks operate to facilitate espionage on other targets such as governments, financial institutions, and academics.",,"Algeria, Afghanistan, Belgium, Brazil, Fiji, Germany, Iran, India, Indonesia, Kiribati, Malaysia, Pakistan, Syria, Russia","United Kingdom, United States",Espionage,"Government, Private sector",https://securelist.com/blog/research/67741/regin-nation-state-ownage-of-gsm-networks/,http://www.spiegel.de/international/world/regin-malware-unmasked-as-nsa-tool-after-spiegel-publishes-source-code-a-1015255.html,http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/regin-analysis.pdf
Putter Panda,6/10/2014,"Also known as APT 2, PLA Unit 61486, and TG-6952","This threat actor targets firms in the technology (communications, space, aerospace), research, defense, and government sectors in the United States for espionage purposes. The tools and infrastructure it uses overlap with PLA Unit 61398.",,U.S. satellite and aerospace sector,China,Espionage,"Private sector, Government",http://cdn0.vox-cdn.com/assets/4589853/crowdstrike-intelligence-report-putter-panda.original.pdf,https://www.crowdstrike.com/blog/hat-tribution-pla-unit-61486/,http://motherboard.vice.com/read/chinas-putter-panda-cyber-spies-have-been-hacking-the-us-aerospace-industry
Compromise of the U.S. National Oceanic and Atmospheric Administration,11/12/2014,,Threat actors accessed weather network data,,National Oceanic and Atmospheric Agency,China,Espionage,Government,https://www.washingtonpost.com/local/chinese-hack-us-weather-systems-satellite-network/2014/11/12/bef1206a-68e9-11e4-b053-65cea7903f2e_story.html,https://www.washingtonpost.com/blogs/capital-weather-gang/wp/2014/10/22/weather-service-stops-receiving-satellite-data-issues-warning-about-forecast-reliability/,
Patchwork,5/19/2013,Believed to be responsible for the attempted compromise of U.S. think tanks,"This threat actor targets multiple entities, primarily around India but also in the United States, the Middle East, and China.",,"Bangladesh, Sri Lanka, Pakistan",India,Espionage,"Private sector, Military",https://s3-us-west-2.amazonaws.com/cymmetria-blog/public/Unveiling_Patchwork.pdf,https://www.forcepoint.com/sites/default/files/resources/files/forcepoint-security-labs-monsoon-analysis-report.pdf,https://www.bluecoat.com/security-blog/2013-05-20/hangover-report
Compromise of the Finnish Ministry of Foreign Affairs,11/1/2013,Believed to be the work of Turla,A threat actor compromised Finland’s Ministry of Foreign Affairs for espionage purposes. The threat actor specifically targeted communications between Finland and the European Union.,,Ministry for Foreign Affairs,Russian Federation,Espionage,Government,http://www.mtv.fi/uutiset/kotimaa/artikkeli/mtv3-suomen-ulkoministerio-laajan-verkkovakoilun-kohteena-vuosia/2369718,http://arstechnica.com/tech-policy/2013/10/finlands-foreign-ministry-gets-pwned-by-red-october-malware/,https://yle.fi/uutiset/osasto/news/russian_group_behind_2013_foreign_ministry_hack/8591548
Kimsuky,9/11/2013,,"This threat actor targets South Korean think tanks, industry, nuclear power operators, and the Ministry of Unification for espionage purposes. Also responsible for launching a launching a spear-phishing campaign targeting UN officials, including those affiliated with the UN Security Council.",Denouncement   http://www.reuters.com/article/us-nuclear-southkorea-northkorea-idUSKBN0MD0GR20150317,"Ministry of Unification, Sejong Institute, Korea Institute for Defense Analyses, UN officials, including those affiliated with the UN Security Council",Korea (Democratic People's Republic of),Espionage,"Government, Private sector",https://securelist.com/analysis/publications/57915/the-kimsuky-operation-a-north-korean-apt/,http://www.reuters.com/article/us-nuclear-southkorea-northkorea-idUSKBN0MD0GR20150317,
admin@338,10/31/2013,,"This threat actor targets prodemocratic activists and organizations in Hong Kong, European and international financial institutions, and a U.S.-based think tank.",,"Hong Kong, United States",China,Espionage,"Government, Private sector, Civil society",https://www.fireeye.com/blog/threat-research/2013/10/know-your-enemy-tracking-a-rapidly-evolving-apt-actor.html,https://www.fireeye.com/blog/threat-research/2015/11/china-based-threat.html,
Mirage,12/11/2013,"Mirage is possibly linked to the Hellsing threat actor. It is also known as Vixen Panda, GREF, APT 15, and Playful Dragon. Believed to be associated with Winnti Umbrella",This threat actor uses phishing techniques to compromise the networks of foreign ministries of European countries for espionage purposes.,,"European Union, India, United Kingdom",China,Espionage,Government,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-operation-ke3chang.pdf,http://researchcenter.paloaltonetworks.com/2016/05/operation-ke3chang-resurfaces-with-new-tidepool-malware/,https://www.nccgroup.trust/uk/about-us/newsroom-and-events/press-releases/2018/march/new-tools-uncovered-from-hacking-group-apt15/
The Dukes,2/1/2013,Also known as APT 29 and Cozy Bear. Estonian intelligence services associate this group with the Russian Federal Security Service (FSB) and Foreign Intelligence Service (SVR).,"This threat actor targets government ministries and agencies in the West, Central Asia, East Africa, and the Middle East; Chechen extremist groups; Russian organized crime; and think tanks. It is suspected to be behind the 2015 compromise of unclassified networks at the White House, Department of State, Pentagon, and the Joint Chiefs of Staff. The threat actor includes all of the Dukes tool sets, including MiniDuke, CosmicDuke, OnionDuke, CozyDuke, SeaDuke, CloudDuke (aka MiniDionis), and HammerDuke (aka Hammertoss).",,"United States, Georgia, Brazil, China, Japan, Mexico, New Zealand, South Korea, Turkey, Ukraine, Belgium, Portugal, Romania, Kazakhstan, India",Russian Federation,Espionage,"Government, Private sector",https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf,https://www2.fireeye.com/rs/848-DID-242/images/rpt-apt29-hammertoss.pdf,https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/
Compromise of unclassified U.S. Navy network,9/27/2013,,A threat actor compromised an unclassified U.S. Navy computer network for espionage purposes.,,U.S. Navy,Iran (Islamic Republic of),Espionage,Military,http://www.wsj.com/articles/SB10001424052702304526204579101602356751772,,
NetTraveler,6/4/2013,Also known as APT 21,This threat actor targets computer networks associated with Tibetan and Uighur activists for espionage purposes.,,"Mongolia, India, Russia, Kazakhstan, Kyrgyzstan, China, Tajikstan, South Korea, Spain, Germany, United States, Canada, United Kingdom, Chile, Morocco",China,Espionage,"Government, Military",https://securelist.com/blog/research/35936/nettraveler-is-running-red-star-apt-attacks-compromise-high-profile-victims/,https://securelist.com/blog/incidents/57455/nettraveler-is-back-the-red-star-apt-returns-with-new-tricks/,
Sykipot,9/4/2013,"Also known as JS Sykipot, Backdoor Sykipot, and Maverick Panda","This threat actor has been targeting the U.S. defense industrial base, telecommunications, computer hardware, government contractors, and aerospace firms since at least 2006. It was also seen targeting ""Umbrella revolution"" activists.",,"United States, United Kingdom, Hong Kong",China,Espionage,"Private sector, Military",http://blog.trendmicro.com/trendlabs-security-intelligence/sykipot-now-targeting-us-civil-aviation-sector-information/,https://web.archive.org/web/20150322214113/https://www.sans.org/reading-room/whitepapers/malicious/detailed-analysis-sykipot-smartcard-proxy-variant-33919,http://www.symantec.com/connect/blogs/sykipot-attacks
Icefog,9/25/2013,Also known as Dagger Panda and possibly linked to Onion Dog,"This threat actor targets government institutions, military contractors, maritime and shipbuilding groups, telecommunications operators, and others, primarily in Japan and South Korea.",,"South Korea, Japan, China, United States, Germany",China,Espionage,"Government, Military",http://kasperskycontenthub.com/wp-content/uploads/sites/43/vlpdfs/icefog.pdf,http://www.darkreading.com/attacks-and-breaches/java-icefog-malware-variant-infects-us-businesses/d/d-id/1113451,
Deep Panda,1/1/2013,"Also known as Shell Crew, Web Masters, APT 19, Kung Fu Kittens, Black Vine, Temp.Avengers, and Group 13","This threat actor compromises high-tech sector companies, the U.S. defense industrial base, nongovernmental organizations, and state and federal government entities for espionage purposes. It is also suspected of being behind the breaches at Anthem, the U.S. Office of Personnel Management, and United Airlines.",,United States,China,Espionage,"Private sector, Military",http://cybercampaigns.net/wp-content/uploads/2013/06/Deep-Panda.pdf,http://krebsonsecurity.com/2015/02/china-to-blame-in-anthem-hack/,https://web.archive.org/web/20150801000426/https://www.isightpartners.com/2015/07/threatscape-media-highlights-update-week-of-july-29th/
Red October,1/14/2013,Also known as the Rocra and believed to be the same threat actor as Cloud Atlas,"This threat actor targets governments, diplomatic missions, academics, and energy and aerospace organizations for the purpose of espionage.",,"Russia, Kazakhstan, Azerbaijan, Belgium, India, Afghanistan, Armenia, Iran, Turkmenistan, Ukraine, United States, Vietnam, Belarus, Greece, Italy",Russian Federation,Espionage,"Government, Private sector",https://securelist.com/analysis/publications/36740/red-october-diplomatic-cyber-attacks-investigation/,http://www.bbc.com/news/technology-21013087,
Compromise of EADS and ThyssenKrupp,2/25/2013,,"Threat actors compromised the networks of European Aeronautic Defense and Space Company (EADS) and ThyssenKrupp, defense contractors with offices in Germany.",,"European Aeronautic Defense and Space Company (EADS), ThyssenKrupp",China,Espionage,Private sector,http://www.spiegel.de/international/world/digital-spying-burdens-german-relations-with-beijing-a-885444.html,,
PLA Unit 61398,2/19/2013,"Also known as APT 1, Comment Crew, Comment Panda, TG-8223, Group 3, GIF89a, and Byzantine Candor","U.S. cybersecurity firm Mandiant, later purchased by FireEye, released a report in February 2013 that exposed one of China’s cyber espionage units, Unit 61398. The group, which FireEye called APT 1, is a unit within China’s People’s Liberation Army (PLA) that has been linked to a wide range of cyber operations targeting U.S. private sector entities for espionage purposes. The comprehensive report detailed evidence connecting APT 1 and the PLA, offered insight into APT 1’s operational malware and methodologies, and provided timelines of the espionage it conducted.

FireEye termed Unit 61398 “APT 1” to indicate that the threat actor was an Advanced Persistent Threat, a type of operation in which the goal of the network intrusion is not only to gain access to a server or system, but also to retain ongoing access and engage in protracted cyber operations. The APT 1 report exposed the infrastructure of a cyber threat actor and gave both government and nongovernment organizations insight into the escalating nature of state-sponsored cyber operations.",Criminal charges   https://www.justice.gov/opa/pr/us-charges-five-chinese-military-hackers-cyber-espionage-against-us-corporations-and-labor,"United States, United Kingdom, Switzerland, Taiwan, Singapore, Canada, Israel, India, France, Norway, Belgium, Luxembourg, United Arab Emirates, South Africa, Japan",China,Espionage,"Private sector, Government",https://web.archive.org/web/20130219155150/http://intelreport.mandiant.com/Mandiant_APT1_Report.pdf,http://www.mcafee.com/us/resources/white-papers/wp-operation-shady-rat.pdf,http://www.nytimes.com/2013/02/19/technology/chinas-army-is-seen-as-tied-to-hacking-against-us.html
Compromise of the Indian Defense Research and Development Organization,3/13/2013,,A threat actor compromised India's Defense Research and Development Organization for espionage purposes.,Denouncement   http://www.newindianexpress.com/nation/2013/mar/14/chinese-hack-drdo-computers-antony-seeks-report-458371.html,"Indian Defense Research Organization, Defense Research and Development Lab",China,Espionage,Military,http://thehackernews.com/2013/03/chinese-hackers-infiltrate-indian.html,http://www.newindianexpress.com/nation/article1500336.ece,https://www.hackread.com/indian-defence-organisation-drdo-servers-hacked-china-among-the-suspects/
Team Spy Crew,3/20/2013,,This threat actor primarily compromises government entities and human rights activists in Eastern Europe and Central Asia for espionage purposes. It has also compromised private and public sector entities in the Middle East and in Western countries.,,"Hungary, Belarus",Russian Federation,Espionage,"Government, Private sector",http://kasperskycontenthub.com/wp-content/uploads/sites/43/vlpdfs/theteamspystory_final_t2.pdf,,
Unresponsive computer networks in South Korea,5/20/2013,Also known as Operation Troy and Dark Seoul,"Threat actors compromised the computer networks of South Korean broadcasters and two banks, making them unresponsive.",,South Korea,Korea (Democratic People's Republic of),Denial of service,Private sector,https://www.theguardian.com/world/2013/mar/20/south-korea-under-cyber-attack,http://www.nytimes.com/2013/03/21/world/asia/south-korea-computer-network-crashes.html?_r=0,http://www.mcafee.com/us/resources/white-papers/wp-dissecting-operation-troy.pdf
Anchor Panda,3/22/2013,,This threat actor targets government and private sector entities interested in maritime issues in the South China Sea for espionage purposes,,"United States, Germany, Sweden, United Kingdom, Australia",China,Espionage,"Government, Military",https://www.crowdstrike.com/blog/whois-anchor-panda/,,
Compromise of Australian government agencies,5/27/2013,,Threat actors compromised various Australian government ministries for the purposes of espionage. Threat actors allegedly infiltrated blueprints of the Australian Security Intelligence Organization's new headquarters.,,"Australian Security Intelligence Organization, Department of the Prime Minister and Cabinet, Department of Defense, Department of Foreign Affairs, and Trade",China,Espionage,"Government, Military",http://www.abc.net.au/news/2013-05-27/asio-blueprints-stolen-in-major-hacking-operation/4715960,,
Compromise of Saudi Aramco and RasGas,8/16/2012,Believed to have been partially the work of Chrysene,"In 2012, threat actors wiped data from approximately thirty-five thousand computers belonging to Saudi Aramco, one of the world’s largest oil companies. Malware called Shamoon stole passwords, wiped data, and prevented computers from rebooting. Hackers calling themselves the ""Cutting Sword of Justice"" claimed responsibility for the incident, asserting they were retaliating against the al-Saud regime for what the group called widespread crimes against humanity. U.S. intelligence sources have attributed the attack to Iran. Less than two weeks after the Aramco incident, the Qatari gas giant RasGas was also knocked offline by suspected state-sponsored  attackers. 

The Saudi Aramco incident signaled Iran’s growing cyber capabilities and Tehran’s willingness to use them to promote its interests, particularly in its battle of influence in the Middle East with Saudi Arabia. At the time, some countries had the capability to remotely destroy computer data, but there were few publicly known instances of a country using them, and Iran may have been responding to a previous attack against the Iranian Oil Ministry and the National Iranian Oil Company that used a malware called Wiper.",Denouncement   http://www.bloomberg.com/news/articles/2012-12-09/saudi-arabia-says-aramco-cyberattack-came-from-foreign-states,Saudia Arabia Aramco Company,Iran (Islamic Republic of),Data destruction,Private sector,https://securelist.com/blog/incidents/57854/shamoon-the-wiper-copycats-at-work/,http://www.nytimes.com/2012/10/24/business/global/cyberattack-on-saudi-oil-firm-disquiets-us.html?_r=0,http://www.computerworld.com/article/2491501/malware-vulnerabilities/kill-timer-found-in-shamoon-malware-suggests-possible-connection-to-saudi-ar.html
Flame,5/28/2012,This tool is believed to be the work of the Equation Group. The tool Gauss is believed to be based on the Flame platform.,"A threat actor, using a tool called Flame, targeted computers in the Middle East region; the most compromises were in Iran. This compromise gained widespread coverage due to the modular nature of the malware the threat actors used.",,"Iran, Israel, Palestine, Sudan, Syria, Lebanon, Saudi Arabia, Egypt, Hungary, Austria, Russia, United Arab Emirates, France","United States, Israel",Data destruction,"Military, Private sector",https://www.securelist.com/en/blog/208193522/The_Flame_Questions_and_Answers,http://www.wired.com/2012/05/flame/,https://www.washingtonpost.com/world/national-security/us-israel-developed-computer-virus-to-slow-iranian-nuclear-efforts-officials-say/2012/06/19/gJQA6xBPoV_story.html
Madi,7/17/2012,,"This threat actor compromises engineering firms, government entities, and financial and academic institutions in the United States, Israel, Iran, and Pakistan",,"Iran, Israel, United States, Pakistan",Iran (Islamic Republic of),Espionage,"Government, Private sector",https://securelist.com/blog/incidents/33693/the-madi-campaign-part-i-5/,https://securelist.com/blog/incidents/33701/the-madi-campaign-part-ii-53/,
Compromise of Nortel,2/14/2012,,"Threat actors compromised the networks of Nortel, a now-defunct telecommunications equipment provider, over an extended period of time for the purposes of espionage.",,Nortel Networks,China,Espionage,Private sector,https://www.wsj.com/articles/SB10001424052970203363504577187502201577054,http://www.cbc.ca/news/business/nortel-collapse-linked-to-chinese-hackers-1.1260591,
Gauss,8/9/2012,Believed to be based on the Flame platform and possibly the work of the Equation Group,"A threat actor used a tool called Gauss to target the accounts of several Lebanon-based banks, including BlomBank, ByblosBank, Credit Libanais.",,"Lebanon, Palestine, Israel, United States, Iran, United Arab Emirates, Qatar, Jordan, Germany , Egypt","United States, Israel",Espionage,Private sector,https://web.archive.org/web/20160304022846/http://www.kaspersky.com/about/news/virus/2012/Kaspersky_Lab_and_ITU_Discover_Gauss_A_New_Complex_Cyber_Threat_Designed_to_Monitor_Online_Banking_Accounts,https://securelist.com/blog/incidents/33854/gauss-nation-state-cyber-surveillance-meets-banking-trojan-54/,https://www.wired.com/2012/08/gauss-espionage-tool/
Attempted compromise of the BBC Persian TV service,3/14/2012,,A threat actor attempted to jam BBC satellite feeds into Iran and launched a series of automated calls to flood the BBC London office. The incident occurred after the BBC announced a spike in viewership of its Persian TV service.,,BBC Persian TV,Iran (Islamic Republic of),Denial of service,Private sector,http://www.bbc.com/news/technology-17365416,http://www.theguardian.com/media/2012/mar/14/bbc-fears-iran-cyber-attack-persian,
Sneaky Panda,9/14/2012,"Possibly assisted in Operation Aurora, the RSA incident, and the Joint Strike Fighter Program compromise","This threat actor targets private sector companies in the defense, shipping, aeronautics, arms, and energy sectors, as well as nonprofits and financial firms.",,"United States, Hong Kong, Taiwan, Canada, Australia, China, United Kingdom, India, Denmark, Switzerland",China,Espionage,"Private sector, Civil society",http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/the-elderwood-project.pdf,http://www.csmonitor.com/USA/2012/0914/Stealing-US-business-secrets-Experts-ID-two-huge-cyber-gangs-in-China,
SabPub,4/16/2012,A variant of Lucky Cat for Mac computers,"Malware, believed to be linked to Lucky Cat, that facilitates cyber espionage on activists through spear phishing",,"India, United States, United Kingdom, Spain, France",China,Espionage,Government,https://securelist.com/blog/incidents/33208/new-version-of-osx-sabpub-confirmed-mac-apt-attacks-19/,http://www.securityweek.com/mac-malware-linked-luckycat-attack-campaign,http://www.infoworld.com/article/2617225/malware/sabpub-malware-proves-macs-are-an-apt-target.html
ITSecTeam,9/18/2012,,One of the threat actors responsible for the denial of service attacks against U.S in 2012–2013. Three individuals associated with the group—believed to be have been working on behalf of Iran’s Islamic Revolutionary Guard Corps—were indicted by the Justice Department in 2016.,Criminal charges   https://www.justice.gov/opa/pr/seven-iranians-working-islamic-revolutionary-guard-corps-affiliated-entities-charged,"Bank of America, Citigroup, Wells Fargo, US Bancorp, PNC, Capital One, Fifth Third Bank, BB&T, HSBC",Iran (Islamic Republic of),Denial of service,Private sector,http://pastebin.com/mCHia4W5,http://www.nytimes.com/2013/01/09/technology/online-banking-attacks-were-work-of-iran-us-officials-say.html,https://www.washingtonpost.com/world/national-security/iran-blamed-for-cyberattacks/2012/09/21/afbe2be4-0412-11e2-9b24-ff730c7f6312_story.html
Denial of service attacks against U.S. banks in 2012–2013,9/18/2012,Also known as Operation Ababil,"The websites of Bank of America, JPMorgan Chase, Wells Fargo, and other U.S. financial institutions suffered simultaneous outages due to a coordinated denial of service cyberattack in September 2012. Attackers flooded bank servers with junk traffic, preventing users from online banking. An Iranian group called Izz ad-Din al-Qassam Cyber Fighters initially claimed responsibility for the incident. At the time, the media reported that U.S. intelligence believed the denial of service was in response to U.S. imposed economic sanctions to counter Iran’s nuclear program. Seven Iranian individuals linked to the Islamic Revolutionary Guard Corps were eventually indicted by the U.S. Department of Justice in 2016 for their involvement in the incident. 

The denial of service attacks against U.S. banks is significant for two reasons. First, the size and scale of the attacks led the State Department to seek other countries’ assistance in taking down the compromised computers that were flooding the banks with junk traffic. Second, the attacks would indicate that Iran—if it was in fact using the attacks as retaliation for U.S. financial sanctions—was acting proportionally in its dispute with the United States.",Criminal charges   https://www.justice.gov/opa/pr/seven-iranians-working-islamic-revolutionary-guard-corps-affiliated-entities-charged,"Bank of America, Citigroup, Wells Fargo, US Bancorp, PNC, Capital One, Fifth Third Bank, BB&T, HSBC",Iran (Islamic Republic of),Denial of service,Private sector,http://pastebin.com/mCHia4W5,http://www.nytimes.com/2013/01/09/technology/online-banking-attacks-were-work-of-iran-us-officials-say.html,https://www.washingtonpost.com/world/national-security/iran-blamed-for-cyberattacks/2012/09/21/afbe2be4-0412-11e2-9b24-ff730c7f6312_story.html
Compromise of Coca-Cola,11/4/2012,Believed to be the work of PLA Unit 61398,A threat actor compromised Coca-Cola’s network coinciding with the company's attempted acquisition of China Huiyuan Juice Group.,,Coca-Cola,China,Espionage,Private sector,http://www.bloomberg.com/news/articles/2012-11-04/coke-hacked-and-doesn-t-tell,http://www.nytimes.com/2013/02/19/technology/chinas-army-is-seen-as-tied-to-hacking-against-us.html,
